#
# INPUTFILE 
# ENERGYOUT energy.dat
# GEOMOUT geometry.xyz
# RANDOMSEED 41
# DESIREDTEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSWAITTIME 5.000000 s
# ENERGYWAITTIME 0.001000 ps
# GEOMWAITTIME 0.001000 ps
# TOTALTIME 0.500000 ps
# TIMESTEP 0.000500 ps
# EQTIME 0.000000 ps
# EQRATE 2.000000 p
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
 0.0000  2.05177e+05  7.110e+00  2.052e+05  2.052e+05  2.846e-01  0.000e+00  2.053e+05 -1.771e+02  9.563e-02  1.886e-01  4.177e-04  0.000e+00
 0.0010  2.16408e+05  5.945e+00  2.164e+05  2.164e+05  1.465e+00  0.000e+00  2.166e+05 -1.775e+02  9.711e-01  4.877e-01  6.083e-03  0.000e+00
 0.0020  2.25445e+05  4.741e+00  2.254e+05  2.254e+05  2.682e+00  0.000e+00  2.256e+05 -1.779e+02  1.648e+00  1.021e+00  1.331e-02  0.000e+00
 0.0030  2.28572e+05  4.077e+00  2.286e+05  2.286e+05  3.345e+00  0.000e+00  2.287e+05 -1.783e+02  1.609e+00  1.713e+00  2.273e-02  0.000e+00
 0.0040  2.25748e+05  3.934e+00  2.257e+05  2.257e+05  3.477e+00  0.000e+00  2.259e+05 -1.786e+02  9.956e-01  2.448e+00  3.405e-02  0.000e+00
 0.0050  2.22377e+05  3.689e+00  2.224e+05  2.224e+05  3.715e+00  0.000e+00  2.225e+05 -1.787e+02  5.518e-01  3.116e+00  4.725e-02  0.000e+00
 0.0060  2.22068e+05  2.941e+00  2.221e+05  2.221e+05  4.470e+00  0.000e+00  2.222e+05 -1.788e+02  7.756e-01  3.632e+00  6.256e-02  0.000e+00
 0.0070  2.22927e+05  2.042e+00  2.229e+05  2.229e+05  5.382e+00  0.000e+00  2.231e+05 -1.789e+02  1.370e+00  3.932e+00  8.017e-02  0.000e+00
 0.0080  2.20825e+05  1.735e+00  2.208e+05  2.208e+05  5.694e+00  0.000e+00  2.210e+05 -1.788e+02  1.609e+00  3.985e+00  1.000e-01  0.000e+00
 0.0090  2.14986e+05  2.320e+00  2.150e+05  2.150e+05  5.100e+00  0.000e+00  2.152e+05 -1.787e+02  1.178e+00  3.800e+00  1.217e-01  0.000e+00
 0.0100  2.09232e+05  3.307e+00  2.092e+05  2.092e+05  4.101e+00  0.000e+00  2.094e+05 -1.786e+02  5.291e-01  3.427e+00  1.445e-01  0.000e+00
 0.0110  2.07974e+05  3.941e+00  2.080e+05  2.080e+05  3.463e+00  0.000e+00  2.081e+05 -1.786e+02  3.496e-01  2.946e+00  1.673e-01  0.000e+00
 0.0120  2.12026e+05  4.004e+00  2.120e+05  2.120e+05  3.408e+00  0.000e+00  2.122e+05 -1.788e+02  7.760e-01  2.443e+00  1.891e-01  0.000e+00
 0.0130  2.17658e+05  3.976e+00  2.177e+05  2.177e+05  3.446e+00  0.000e+00  2.178e+05 -1.790e+02  1.250e+00  1.986e+00  2.092e-01  0.000e+00
 0.0140  2.19863e+05  4.404e+00  2.199e+05  2.199e+05  3.017e+00  0.000e+00  2.200e+05 -1.791e+02  1.176e+00  1.614e+00  2.272e-01  0.000e+00
 0.0150  2.17813e+05  5.216e+00  2.178e+05  2.178e+05  2.193e+00  0.000e+00  2.180e+05 -1.791e+02  6.035e-01  1.346e+00  2.437e-01  0.000e+00
 0.0160  2.15538e+05  5.783e+00  2.155e+05  2.155e+05  1.618e+00  0.000e+00  2.157e+05 -1.789e+02  1.653e-01  1.194e+00  2.593e-01  0.000e+00
 0.0170  2.16295e+05  5.624e+00  2.163e+05  2.163e+05  1.781e+00  0.000e+00  2.165e+05 -1.787e+02  3.409e-01  1.166e+00  2.747e-01  0.000e+00
 0.0180  2.18452e+05  4.958e+00  2.184e+05  2.184e+05  2.459e+00  0.000e+00  2.186e+05 -1.784e+02  9.092e-01  1.260e+00  2.902e-01  0.000e+00
 0.0190  2.17858e+05  4.450e+00  2.179e+05  2.179e+05  2.973e+00  0.000e+00  2.180e+05 -1.780e+02  1.210e+00  1.457e+00  3.064e-01  0.000e+00
 0.0200  2.13364e+05  4.467e+00  2.134e+05  2.134e+05  2.951e+00  0.000e+00  2.135e+05 -1.777e+02  9.041e-01  1.723e+00  3.236e-01  0.000e+00
 0.0210  2.08376e+05  4.685e+00  2.084e+05  2.084e+05  2.721e+00  0.000e+00  2.085e+05 -1.775e+02  3.628e-01  2.016e+00  3.427e-01  0.000e+00
 0.0220  2.07129e+05  4.501e+00  2.071e+05  2.071e+05  2.902e+00  0.000e+00  2.073e+05 -1.774e+02  2.370e-01  2.302e+00  3.636e-01  0.000e+00
 0.0230  2.10789e+05  3.743e+00  2.108e+05  2.108e+05  3.669e+00  0.000e+00  2.110e+05 -1.777e+02  7.192e-01  2.564e+00  3.856e-01  0.000e+00
 0.0240  2.16415e+05  2.875e+00  2.164e+05  2.164e+05  4.547e+00  0.000e+00  2.166e+05 -1.781e+02  1.337e+00  2.803e+00  4.069e-01  0.000e+00
 0.0250  2.19315e+05  2.471e+00  2.193e+05  2.193e+05  4.951e+00  0.000e+00  2.195e+05 -1.785e+02  1.502e+00  3.024e+00  4.252e-01  0.000e+00
 0.0260  2.17857e+05  2.579e+00  2.179e+05  2.178e+05  4.835e+00  0.000e+00  2.180e+05 -1.789e+02  1.181e+00  3.215e+00  4.387e-01  0.000e+00
 0.0270  2.15255e+05  2.717e+00  2.153e+05  2.152e+05  4.690e+00  0.000e+00  2.154e+05 -1.791e+02  9.061e-01  3.338e+00  4.461e-01  0.000e+00
 0.0280  2.15028e+05  2.500e+00  2.150e+05  2.150e+05  4.911e+00  0.000e+00  2.152e+05 -1.793e+02  1.132e+00  3.332e+00  4.469e-01  0.000e+00
 0.0290  2.16188e+05  2.159e+00  2.162e+05  2.162e+05  5.263e+00  0.000e+00  2.164e+05 -1.794e+02  1.685e+00  3.136e+00  4.415e-01  0.000e+00
